route_long_name,route_type,route_text_color,agency_id,route_id,route_color,route_short_name
Devonport To Westwell Rd Via Ngataringa Rd,3,,RTH,81501-20170524122152_v54.17,,815
Eastridge To St Heliers Via Kohimarama,3,,NZBML,77004-20170524122152_v54.17,,770
Sturges Road To City Centre Via Sunnyvale,3,,NZBGW,07901-20170524122152_v54.17,,079
Browns Bay To Mayoral Dr Express,3,,NZBNS,86003-20170524122152_v54.17,,86X
City Centre To Pt Chevalier Via Williamson Ave,3,,NZBML,03006-20170524122152_v54.17,,030
Glendowie North To Britomart Via Tamaki Dr,3,,NZBML,76901-20170524122152_v54.17,,769
Manurewa Interchange To Wattle Downs Loop,3,,RTH,36302-20170524122152_v54.17,,363
Britomart Train Station to Otahuhu Train Station,2,,AM,50170-20170524122152_v54.17,,EAST
Midtown To Bayview Via Manuka Rd,3,,BTL,95504-20170524122152_v54.17,,955
Auckland To West Harbour,4,,BFL,99512-20170524122152_v54.17,,WSTH
Orewa College To Arkles Bay/Manly,3,,BAYES,00556-20170524122152_v54.17,,005
Takapuna To Henderson,3,,RTH,13003-20170524122152_v54.17,,130
Pukekohe Northeast Loop,3,,RTH,39102-20170524122152_v54.17,,391
Britomart Train Station to Onehunga Train Station,2,,AM,40028-20170524122152_v54.17,,ONE
One Tree Hill College To Mt Wellington South,3,,NZBML,06252-20170524122152_v54.17,,062
Highbury To Birkenhead Wharf,3,,BTL,95706-20170524122152_v54.17,,957
Otahuhu To Panmure Station,3,,GBT,32303-20170524122152_v54.17,,323
New Lynn To Henderson Via Glendene,3,,NZBGW,11504-20170524122152_v54.17,,115
Civic / Queen St To Mangere Town Centre,3,,GBT,30902-20170524122152_v54.17,,309
City Centre To Henderson Via Glendene,3,,NZBGW,11502-20170524122152_v54.17,,115
Outer Link Mt Eden To CBD Clockwise,3,,NZBML,73108-20170524122152_v54.17,,OUT
Botany Town Centre To Half Moon Bay,3,,HE,57504-20170524122152_v54.17,,575
Mairangi Bay To City Centre Express,3,,NZBNS,86303-20170524122152_v54.17,,863X
Middlemore To Half Moon Bay Via Otara And Highbrook,3,,HE,57502-20170524122152_v54.17,,575
Tamaki Dr To Britomart,3,,NZBML,76703-20170524122152_v54.17,,767
St Heliers To Pt Chevalier Via Selwyn Village,3,,NZBML,00703-20170524122152_v54.17,,007
Britomart To Panmure Via Mission Bay And Glen Innes,3,,NZBML,75602-20170524122152_v54.17,,756
Bucklands Beach Intermediate To Highland Park,3,,HE,07552-20170524122152_v54.17,,075
Sylvia Park to Britomart via Ruawai Rd and Ellerslie,3,,NZBML,50501-20170524122152_v54.17,,505
Kilkenny Dr To Britomart Via Botany Town Centre,3,,HE,50003-20170524122152_v54.17,,500
Britomart To Glen Innes Via Panmure,3,,NZBML,59502-20170524122152_v54.17,,595
"City To Otara Via Manukau Rd, Onehunga, Mangere, Papatoetoe",3,,GBT,10018-20170524122152_v54.17,,N10
Torbay To Kingsway School,3,,BAYES,00957-20170524122152_v54.17,,009
Macleans College To Dannemora,3,,HE,08252-20170524122152_v54.17,,082
Macleans College To Bucklands Beach,3,,HE,32652-20170524122152_v54.17,,326
Seventh Day Adventist Primary To Mangere Town Centre,3,,GBT,00358-20170524122152_v54.17,,003
Britomart Train Station to Manukau Train Station,2,,AM,50154-20170524122152_v54.17,,EAST
Bucklands Beach To Botany Town Centre Via Highland Park,3,,HE,54502-20170524122152_v54.17,,545
Britomart to Middlemore station via Greenlane,3,,NZBML,32102-20170524122152_v54.17,,321
Auckland University To Chatswood,3,,BTL,97102-20170524122152_v54.17,,971
Howick Intermediate To Botany Downs,3,,HE,32352-20170524122152_v54.17,,323
City Centre To Henderson Via Te Atatu Penninsula,3,,NZBGW,04902-20170524122152_v54.17,,049
Hibiscus Coast Station to Britomart,3,,RTH,10003-20170524122152_v54.17,,NEX
Blockhouse Bay To Civic Centre Express,3,,NZBML,25809-20170524122152_v54.17,,258X
Drury To Papakura Shops,3,,RTH,37601-20170524122152_v54.17,,376
Carmel College To Totara Vale,3,,NZBNS,05654-20170524122152_v54.17,,056
St Marys College To Pt Chevalier,3,,NZBML,09552-20170524122152_v54.17,,095
New Lynn To Te Atatu Peninsula,3,,NZBGW,12102-20170524122152_v54.17,,121
Selwyn College To Remuera,3,,NZBML,04554-20170524122152_v54.17,,045
