"School","L1","L2","L3","UE","Decile","Region"
"Palmerston North Girls' High School",0.957,0.963,0.906,0.75,8,"Palmerston North/Manawatu"
"Papakura High School",0.558,0.75,0.778,0.225,1,"Auckland"
"Papamoa College",0.697,0.911,0.733,0.633,6,"Bay of Plenty"
"Papanui High School",0.841,0.861,0.746,0.464,7,"Christchurch/Canterbury"
"Papatoetoe High School",0.708,0.829,0.645,0.5,3,"Auckland"
"Paraparaumu College",0.904,0.919,0.872,0.694,8,"Wellington/Kapiti"
"Patea Area School",1,1,0.75,0.167,1,"New Plymouth/Taranaki"
"Piopio College",0.897,0.824,0.857,0.357,5,"Hamilton/Waikato"
"Pompallier Catholic College",0.958,0.968,0.896,0.791,7,"Northland"
"Ponatahi Christian School",0.667,1,1,1,8,"Wairarapa"
"Porirua College",0.724,0.765,0.634,0.25,1,"Wellington/Kapiti"
"Pukekohe High School",0.805,0.872,0.794,0.64,6,"Auckland"
"Putaruru College",0.833,0.891,0.862,0.25,3,"Hamilton/Waikato"
"Queen Charlotte College",0.83,0.929,0.72,0.36,6,"Nelson/Marlborough"
"Queen Elizabeth College",0.714,0.682,0.857,0.167,3,"Palmerston North/Manawatu"
"Queen Margaret College",0.986,1,1,1,10,"Wellington/Kapiti"
"Queen's High School",0.804,0.895,0.818,0.477,5,"Dunedin/Otago"
"Raglan Area School",0.654,0.923,0.842,0.368,4,"Hamilton/Waikato"
"Rai Valley Area School",0.75,1,0.667,0.333,5,"Nelson/Marlborough"
"Rangi Ruru Girls' School",0.991,0.983,0.973,0.973,10,"Christchurch/Canterbury"
"Rangiora High School",0.88,0.922,0.765,0.648,9,"Christchurch/Canterbury"
"Rangiora New Life School",0.944,0.98,0.68,0.654,9,"Christchurch/Canterbury"
"Rangitikei College",0.738,0.86,0.692,0.462,3,"Palmerston North/Manawatu"
"Rangitoto College",0.913,0.936,0.917,0.836,10,"Auckland"
"Rathkeale College",0.971,0.991,0.969,0.832,9,"Wairarapa"
"Reefton Area School",0.818,0.909,0.875,0.6,6,"West Coast"
"Reporoa College",0.8,0.917,0.818,0.455,6,"Taupo"
"Riccarton High School",0.944,0.894,0.865,0.617,6,"Christchurch/Canterbury"
"Rodney College",0.868,0.922,0.935,0.565,4,"Auckland"
"Roncalli College",0.973,0.99,0.882,0.684,7,"Christchurch/Canterbury"
"Rongotai College",0.832,0.852,0.86,0.645,6,"Wellington/Kapiti"
"Rosehill College",0.725,0.823,0.636,0.475,5,"Auckland"
"Rosmini College",0.966,0.955,0.964,0.82,9,"Auckland"
"Rotorua Boys' High School",0.894,0.963,0.787,0.549,3,"Taupo"
